hsaID,geneID,Gene,Pathway
hsa00010,57818,G6PC2,Glycolysis / Gluconeogenesis
hsa00010,80201,HKDC1,Glycolysis / Gluconeogenesis
hsa00010,3101,HK3,Glycolysis / Gluconeogenesis
hsa00010,2597,GAPDH,Glycolysis / Gluconeogenesis
hsa00010,5161,PDHA2,Glycolysis / Gluconeogenesis
hsa00010,92483,LDHAL6B,Glycolysis / Gluconeogenesis
hsa00010,131,ADH7,Glycolysis / Gluconeogenesis
hsa00010,8789,FBP2,Glycolysis / Gluconeogenesis
hsa00010,3939,LDHA,Glycolysis / Gluconeogenesis
hsa00010,218,ALDH3A1,Glycolysis / Gluconeogenesis
hsa00010,3948,LDHC,Glycolysis / Gluconeogenesis
hsa00010,5213,PFKM,Glycolysis / Gluconeogenesis
hsa00020,5161,PDHA2,Citrate cycle (TCA cycle)
hsa00030,8789,FBP2,Pentose phosphate pathway
hsa00030,5213,PFKM,Pentose phosphate pathway
hsa00030,8277,TKTL1,Pentose phosphate pathway
hsa00040,9365,KL,Pentose and glucuronate interconversions
hsa00051,3101,HK3,Fructose and mannose metabolism
hsa00051,5213,PFKM,Fructose and mannose metabolism
hsa00051,80201,HKDC1,Fructose and mannose metabolism
hsa00051,51171,HSD17B14,Fructose and mannose metabolism
hsa00051,5210,PFKFB4,Fructose and mannose metabolism
hsa00051,57103,TIGAR,Fructose and mannose metabolism
hsa00051,8789,FBP2,Fructose and mannose metabolism
hsa00051,5207,PFKFB1,Fructose and mannose metabolism
hsa00051,3795,KHK,Fructose and mannose metabolism
hsa00052,80201,HKDC1,Galactose metabolism
hsa00052,5213,PFKM,Galactose metabolism
hsa00052,3938,LCT,Galactose metabolism
hsa00052,57818,G6PC2,Galactose metabolism
hsa00052,3101,HK3,Galactose metabolism
hsa00053,51171,HSD17B14,Ascorbate and aldarate metabolism
hsa00053,9365,KL,Ascorbate and aldarate metabolism
hsa00061,81616,ACSBG2,Fatty acid biosynthesis
hsa00061,23205,ACSBG1,Fatty acid biosynthesis
hsa00061,51102,MECR,Fatty acid biosynthesis
hsa00061,23305,ACSL6,Fatty acid biosynthesis
hsa00062,51102,MECR,Fatty acid elongation
hsa00062,11332,ACOT7,Fatty acid elongation
hsa00062,9200,HACD1,Fatty acid elongation
hsa00071,35,ACADS,Fatty acid degradation
hsa00071,131,ADH7,Fatty acid degradation
hsa00071,23305,ACSL6,Fatty acid degradation
hsa00071,33,ACADL,Fatty acid degradation
hsa00071,23205,ACSBG1,Fatty acid degradation
hsa00071,81616,ACSBG2,Fatty acid degradation
hsa00120,8309,ACOX2,Primary bile acid biosynthesis
hsa00130,3242,HPD,Ubiquinone and other terpenoid-quinone biosynthesis
hsa00130,51805,COQ3,Ubiquinone and other terpenoid-quinone biosynthesis
hsa00140,3291,HSD11B2,Steroid hormone biosynthesis
hsa00140,3293,HSD17B3,Steroid hormone biosynthesis
hsa00140,3284,HSD3B2,Steroid hormone biosynthesis
hsa00140,8630,HSD17B6,Steroid hormone biosynthesis
hsa00140,3283,HSD3B1,Steroid hormone biosynthesis
