Gene,log2FoldChange,pvalue,padj
MTRNR2L2,10.9836635168422,4.39967658684166e-116,4.77040722976448e-113
IGFN1,10.7254462903836,5.35245349934685e-91,2.20531789080089e-88
AQP7P1,10.0862783980841,2.72500593542484e-94,1.30553133199272e-91
MUC19,9.74624502733225,2.00097020546936e-79,4.43247174224456e-77
FBN3,9.63336032273524,1.09749651187528e-85,3.37455606584217e-83
MUC17,9.56029007024102,2.37008154517336e-73,3.27691610148432e-71
MYO18B,9.3346560513958,3.0226927885472e-75,4.94210270927467e-73
KCNQ2,9.27186476443675,2.44145403335654e-79,5.29435732012401e-77
DUSP5P1,9.21051553779499,1.32915083565879e-54,3.95691276956744e-53
PGA4,9.1965151517408,3.32737481897986e-53,8.72102400073843e-52
INS-IGF2,9.17869722839307,1.80099304672135e-77,3.53354835766728e-75
KCNA2,9.11009677574277,5.02630351327018e-80,1.16344807502111e-77
CCDC168,9.10357620682173,1.8398968892433e-78,3.67997240925255e-76
PGA3,9.09684308295951,1.32128494141338e-61,6.85637054862897e-60
NBPF6,9.09337324330086,2.09127254900264e-71,2.47599458517261e-69
GPRIN2,9.03266325770863,3.97614025195369e-91,1.70650969438537e-88
GRIN2B,9.02818980487685,2.02190366726578e-69,1.94641296492254e-67
DNM1P50,8.94107851892804,1.91677919998248e-71,2.28251839877682e-69
HERC2P7,8.93558412201692,2.68385840738805e-68,2.33291844095364e-66
DSCAM,8.90945927664443,3.48769570729953e-61,1.76102988397249e-59
MYOCD,8.9020584740385,4.11870905797136e-70,4.26379524137025e-68
ABCC8,8.88651549751072,5.37672733423341e-64,3.45065295366176e-62
HSD3BP4,8.88537651829273,1.90798889878454e-67,1.51762468354673e-65
MROH2A,8.87237132766494,2.21605435332447e-71,2.60873918473356e-69
KIF26A,8.82604642901252,4.80385675958995e-70,4.94821265521563e-68
MROH5,8.78557402248124,2.0563038228422e-64,1.3621194551245e-62
MUC12,8.78557062729854,2.50088495009437e-80,5.99078265777838e-78
GRIK4,8.75125281683075,4.94174596533881e-70,5.06492082745994e-68
DDX11L5,8.73830838422722,4.74428392562345e-80,1.11064764945192e-77
NBPF4,8.72777138302675,1.81598516774405e-69,1.75639016153498e-67
MROH2B,8.70873118009399,3.01421811985189e-61,1.52569797265525e-59
MYH2,8.64803311655358,4.04892758428452e-59,1.72338754470755e-57
MYH8,8.63311830606254,1.10258094677292e-60,5.38252845603527e-59
